mean,std,rms,peak_to_peak,crest_factor,kurtosis,skewness,bearing,batch,speed,force,fault
-0.00192170745,0.042666842571138154,0.042710097336738445,0.35750000000000004,4.433846134953839,0.9093698283168923,-0.028909245542401495,NU204_E_metal_b,5,1000,1,OK
-0.002923461500000001,0.2582631078808902,0.2582796537078333,6.2833000000000006,18.923286948219136,141.21911549728276,-7.688082433213354,NU204_E_metal_b,6,1000,1,IR
-0.0006301577500000003,0.23354004615394516,0.23354089632519764,5.0592,15.208043027523454,75.49648146013618,-4.307918597873737,NU204_E_metal_b,6,1000,1,IR
-0.003233702149999999,0.0933558326753838,0.09341182111547323,1.3896899999999999,8.256449674036448,14.304959870632263,-0.7651944471716889,NU204_E_metal_b,6,1000,1,IR
-0.003334479500000001,0.2143706458761115,0.21439657778723314,5.2667,17.64906902457714,116.59335010622249,-6.5641932270338454,NU204_E_metal_b,6,1000,1,IR
-0.0032304383999999997,0.06241215493048606,0.06249570237482886,0.86265,7.565480217571436,6.493673926477275,-0.26987828802599434,NU204_E_metal_b,6,1000,1,IR
-0.0026159789000000017,0.2875357838145503,0.2875476835577937,7.2489,17.80574246556551,121.68783597691484,-6.47662534285354,NU204_E_metal_b,6,1000,1,IR
-0.0030737551000000005,0.07813897532001798,0.07819940814659121,1.09672,7.8065808229088365,15.773320910263223,-0.9205645870045411,NU204_E_metal_b,6,1000,1,IR
-0.0015765474499999995,0.29067850110980215,0.29068277642354967,6.7231000000000005,15.871597405130018,99.70093354345201,-6.355821595745452,NU204_E_metal_b,6,1000,1,IR
-0.0020779661499999995,0.08270607002900282,0.08273217006076211,1.41062,8.936910508414979,25.671549859861706,-0.6942254539279271,NU204_E_metal_b,6,1000,1,IR
-0.0017198539499999996,0.2107535217238253,0.21076053904041012,4.4535,13.851739103021792,70.72280916741072,-4.3762789202121235,NU204_E_metal_b,6,1000,1,IR
-0.0019145332499999994,0.08203929785103477,0.08206163433332384,1.38782,8.653983140470018,23.099559575232316,-0.33620380331073657,NU204_E_metal_b,6,1000,1,IR
0.00015207590000000038,0.20119293234144087,0.2011929898163128,4.4353,14.38469602068285,67.6323241715752,-3.787835937595515,NU204_E_metal_b,6,1000,1,IR
-0.0027348285499999994,0.07355320324905264,0.07360402839107613,1.2754699999999999,9.058199864517663,22.79040418622474,-0.5410643442613494,NU204_E_metal_b,6,1000,1,IR
-0.0035333940999999996,0.23828958757945554,0.2383157829910829,5.2175,14.872703584775254,95.50266346247997,-6.017788582752911,NU204_E_metal_b,6,1000,1,IR
-0.0018798908499999994,0.06958548091610303,0.06961086943813626,0.84797,6.646375828004414,6.628363302511273,-0.2241856732739979,NU204_E_metal_b,6,1000,1,IR
-0.003258762100000001,0.20270173613950773,0.20272792941377127,3.5985,11.883414421320234,46.97948165431524,-3.7378853199399504,NU204_E_metal_b,7,1000,1,IR
0.0016812867000000002,0.06428494788778193,0.06430693003014865,1.04625,12.102583650550935,41.429883496774885,3.9686254928684788,NU204_E_metal_b,7,1000,1,IR
-0.003631710800000002,0.230915814938596,0.23094437189957834,4.2928999999999995,11.879051121422929,62.50240775723957,-4.160626887906108,NU204_E_metal_b,7,1000,1,IR
