mean,std,variance,rms,peak,peak_to_peak,crest_factor,kurtosis,skewness,data_no,fault,bearing,speed,force
-0.0018303674688000002,0.04401415793372461,0.0019372460986148532,0.044052200213901854,0.30141,0.5534399999999999,6.842110008954377,0.5405925272915422,-0.034301465507972584,14,RE,NU204_E_metal_b,1000,1
-0.0018162770783999999,0.04589604645707384,0.00210644708038988,0.04593197081353468,0.26562,0.52109,5.782900130245017,0.4652489120473242,0.021046818637721596,15,RE,NU204_E_metal_b,1000,1
-0.0019334422528,0.05876676009580295,0.003453532092157658,0.05879855687942154,0.81281,1.4689,13.823638591451031,14.93467608466699,-0.4700796109388711,16,OK,NU204_E_metal_b,1000,2
-0.0019086786271999999,0.06439724259036053,0.004147004853241744,0.06442552217362055,0.76391,1.42813,11.857257407108575,11.282684767557797,-0.3932486869045177,17,OK,NU204_E_metal_b,1000,2
-0.0019411836000000002,0.06214222121978591,0.0038616556581288104,0.06217253293776698,0.85703,1.5564,13.784704587439984,17.675257479618367,-0.5007450936392904,18,OK,NU204_E_metal_b,1000,2
-0.0018573969632,0.062273198293882906,0.0038779512257492606,0.06230089204199379,0.77328,1.4020299999999999,12.412021315501745,11.979105669907367,-0.4560843543470387,19,OK,NU204_E_metal_b,1000,2
-0.0018017917280000002,0.059184582452316295,0.0035028148000550256,0.0592120026133732,0.76609,1.425,12.938086303248532,11.775641548523575,-0.28744375139391964,20,OK,NU204_E_metal_b,1000,2
-0.0022849015392,0.24596284577780855,0.06049772150311804,0.24597345848314994,4.6041,7.2288,18.7178731737652,71.17211895888404,-3.1015571652553025,21,IR,NU204_E_metal_b,1000,2
-0.0020580120224000004,0.2356772867890605,0.05554378350825307,0.2356862722386211,4.1555,6.5872,17.63148935459743,57.69204930442434,-2.830648485695492,22,IR,NU204_E_metal_b,1000,2
-0.0013910648128000003,0.24358658843971676,0.05933442606769996,0.2435905604267402,4.6494,7.0824,19.086946521469603,65.94917618184925,-2.922856345060967,23,IR,NU204_E_metal_b,1000,2
-0.0009790001696,0.24493389403575713,0.05999261244751951,0.24493585055857295,4.6245,6.8375,18.88045375739766,60.70527950356818,-2.977719367710394,24,IR,NU204_E_metal_b,1000,2
-0.0017961102111999996,0.2453837852075004,0.0602132020427607,0.2453903585201576,3.7338,6.0705,15.215756733544554,51.97621409557867,-2.5144055477417697,25,IR,NU204_E_metal_b,1000,2
-0.001792778208,0.05542202953945391,0.0030716013582721014,0.055451018132899786,0.40969,0.79813,7.388322411287265,2.7009280726804477,-0.023193490631989926,26,RE,NU204_E_metal_b,1000,2
-0.001839483392,0.05651741318685289,0.003194217993333453,0.05654734027770799,0.46375,0.8843799999999999,8.201093061539074,2.542178399533192,-0.010639164287372759,27,RE,NU204_E_metal_b,1000,2
-0.0017627755808,0.0538212634230882,0.002896728396457452,0.05385012325153691,0.35813,0.64454,6.6504954561971,1.5167971349147917,-0.032753289454780954,28,RE,NU204_E_metal_b,1000,2
-0.0018566894848000002,0.054975847815476285,0.0030223438430304088,0.05500719170138915,0.44094,0.79828,8.016042745713639,2.0658505337775086,-0.0064390889826854685,29,RE,NU204_E_metal_b,1000,2
-0.0018120159039999998,0.05435785546991787,0.0029547764512884806,0.054388048806009115,0.39141,0.6853199999999999,7.196617797341439,1.6454425208326882,-0.06594432705950184,30,RE,NU204_E_metal_b,1000,2
-0.0019021673792000001,0.022424261111143835,0.0005028474863807577,0.022504793425384962,0.23438,0.45922,10.414670135813111,4.530687136109539,-0.1224373315468966,31,OK,NU204_E_metal_b,500,1
-0.0018758600831999999,0.022734096606216916,0.0005168391485008035,0.02281135681086389,0.23687,0.43953,10.383862826045965,6.035746493983121,-0.2563897389358173,32,OK,NU204_E_metal_b,500,1
-0.0018996847936,0.021313551094830414,0.0004542674602719467,0.02139804342894419,0.22344,0.40844,10.44207619925486,3.408585510587649,-0.12675137253403432,33,OK,NU204_E_metal_b,500,1
